FLW_IDX,꽃 이름,색,봄,여름,가을,겨울,향기,가격,사용,꽃말,알러지,꽃말(설명)
11,튤립,보라색,1,0,0,0,강한향,600,꽃다발,"영원한 사랑, 영원하지 않는 사랑",O,"보라색 튤립은 그 모순적인 꽃말처럼, 사랑의 여러 면모를 동시에 표현하는 데 적합합니다. 이 꽃은 영원한 사랑을 꿈꾸면서도 현실의 변덕을 인정하는 성숙한 감정을 담고 있어, 오래 지속된 관계를 기념하거나 변화하는 감정을 이해하려는 순간에 조화롭게 어울립니다. 예를 들어, 결혼기념일에 배우자에게 보라색 튤립을 선물한다면, 그동안 함께 걸어온 시간 속에서 변하지 않는 사랑을 다짐하는 의미로 해석될 수 있습니다. 동시에, 관계의 어려움을 겪고 있는 친구에게 이 꽃을 건네면, 변할 수도 있는 사랑의 현실을 부드럽게 위로하는 상징이 될 것입니다. 보라색 튤립은 이렇게 사랑의 모든 순간에 진심을 전할 수 있는 매우 특별한 꽃입니다."
12,튤립,노란색,1,0,0,0,강한향,600,꽃다발,"헛된 사랑, 짝사랑",O,"노란색 튤립은 그 밝고 경쾌한 색상 덕분에 언뜻 보기에는 기쁨과 활력을 연상시키지만, 꽃말인 '헛된 사랑', '짝사랑'이 주는 의미는 더욱 깊고 복잡합니다. 이 꽃은 짝사랑의 아픔을 겪고 있는 이에게 전달되었을 때, 그 슬픔을 조금이나마 이해받고 있다는 위안을 줄 수 있습니다. 동시에 그 누구도 경험해본 적 없는 특별한 감정의 고백으로서, 혹은 사랑의 소중함을 되새기는 상징으로서도 사용될 수 있습니다. 노란색 튤립은 그 자체로는 환하고 긍정적인 에너지를 발산하면서도, 사랑에 대한 성찰과 감정적 깊이를 전달하는 데에 적합한 선택이 될 것입니다."
13,튤립,하얀색,1,0,0,0,강한향,600,꽃다발,"추억, 실연, 용서",O,"하얀 튤립은 그 자체로 순수하고 고결한 느낌을 주어, 가슴 속 깊은 추억이나 상처 받은 마음을 달래는 데에 적합합니다. 이 꽃은 실연을 경험한 친구에게 용서와 치유의 메시지를 전할 때 사용할 수 있습니다. 마치 부드러운 봄바람처럼, 하얀 튤립은 상대방에게 조용히 다가가 과거의 아픔을 위로하고 새로운 시작을 응원합니다. 때로는 잃어버린 사랑을 잊고, 자신을 용서하며 새로운 길을 걷도록 격려하는 상징으로도 활용될 수 있습니다. 이런 하얀 튤립은 감정의 균형을 찾고 싶어하는 이들에게 특별한 의미를 전달하며, 마음의 평화를 선사할 것입니다."
14,튤립,검은색,1,0,0,0,강한향,600,꽃다발,당신을 저주합니다,O,"검은색 튤립은 그 독특한 색과 꽃말 때문에 특별한 감정의 전달에 적합합니다. 이 검은 튤립은 흔치 않은 선택이지만, 강렬한 인상과 깊은 의미를 통해 감정의 깊이를 전달할 수 있습니다. 예를 들어, 이별의 아픔을 겪고 있는 친구에게 보내는 경우, 검은색 튤립은 슬픔과 고통을 공감하면서도 그 감정을 용감하게 마주하는 용기를 상징할 수 있습니다. 또한, 극적인 사랑의 종말을 표현하며, 이를 통해 새로운 시작을 준비하는 단계로 나아가는 심리적 전환점을 마련해줍니다. 검은 튤립은 어두운 순간에도 아름다움이 존재함을 일깨워주며, 감정의 진정성을 전달하는 특별한 방법이 될 수 있습니다."
15,카네이션,빨간색,0,1,0,0,강한향,1600,어버이날,"모정, 부인의 애정",O,"빨간색 카네이션은 따스함과 깊은 사랑을 상징합니다. 어머니의 날에 자주 사용되는 이 꽃은 모정, 즉 어머니의 끝없는 사랑과 헌신을 나타내는 감정을 표현하기에 완벽합니다. 또한, 부부 사이에서도 빨간 카네이션을 선물하면 부인의 변함없는 사랑과 애정을 전달할 수 있습니다. 이 꽃은 특별한 날 뿐만 아니라 평소에 사랑하는 사람에게 감사의 마음을 전하고 싶을 때, 그 마음을 따뜻하게 전달해줄 수 있는 매개체가 됩니다. 그렇기에 빨간 카네이션은 사랑과 감사의 감정을 전달하고자 할 때, 매우 특별하고 의미 있는 선택이 될 수 있습니다."
16,카네이션,분홍색,0,1,0,0,강한향,1600,꽃다발,"사랑의 고백, 감사하는 마음",O,"분홍색 카네이션은 사랑과 감사의 마음을 담아 전달할 수 있는 완벽한 선택입니다. 이 꽃은 부드러운 색상으로 따뜻한 느낌을 주어, 어머니나 가까운 친구에게 감사의 마음을 표현할 때 특히 적합합니다. 연인에게는 사랑의 고백으로 사용될 때, 그 의미가 더욱 깊어져 두 사람 사이의 특별한 순간을 더욱 로맨틱하게 만들어 줄 수 있습니다. 분홍색 카네이션을 선물 받은 사람은 이 꽃을 통해 전달되는 진심을 느끼고, 그 사랑과 감사의 메시지에 감동할 것입니다. 이렇게 카네이션은 감정을 섬세하게 전달하며, 모든 순간을 더욱 특별하게 만들어줍니다."
17,카네이션,노란색,0,1,0,0,강한향,1600,꽃다발,"거절, 실망, 질투, 경멸",O,"노란 카네이션은 그 복잡한 꽃말만큼이나 다양한 감정의 표현에 사용될 수 있습니다. 비록 거절, 실망, 질투, 경멸이라는 부정적인 의미를 내포하고 있지만, 이는 때로는 자신의 솔직한 감정을 표현하고자 할 때 사용될 수 있습니다. 예를 들어, 관계에서 솔직하고 진지한 대화를 시작하고자 할 때, 노란 카네이션을 전달하며 자신의 불편한 마음을 상대에게 전달할 수 있습니다. 이는 상대방에게 현재의 관계나 상황에 대해 진실된 반응을 요구하는 신호로 작용할 수 있습니다. 때로는 어려운 감정을 전달함으로써, 더 건강하고 솔직한 관계로 발전할 수 있는 발판을 마련하기도 합니다."
18,카네이션,파란색,0,1,0,0,강한향,1600,결혼,영원한 행복,O,"파란색 카네이션은 '영원한 행복'이라는 아름다운 꽃말을 가지고 있습니다. 이 꽃은 눈부신 파란색이 마음의 평화를 주며, 어렵고 힘든 시기를 겪고 있는 친구나 가족에게 전달할 때 그들에게 조용한 위로와 희망을 선사하기에 적합합니다. 또한, 이 꽃은 결혼 기념일이나 오랜 기간 함께한 파트너에게 선물하면, 그들의 관계가 앞으로도 변치 않고 계속해서 행복하길 바라는 마음을 표현할 수 있습니다. 파란색 카네이션은 그 자체로도 특별하지만, 그 의미를 아는 사람에게는 더욱 깊은 감동을 줄 수 있는 선물이 될 것입니다. 이 꽃을 통해 전달되는 영원한 행복의 메시지가 받는 이의 일상에 작은 기쁨과 평안을 가져다 줄 수 있기를 바랍니다."
19,카네이션,보라색,0,1,0,0,강한향,1600,꽃다발,"기품, 자랑, 자유",O,"보라색 카네이션은 그 자체로 기품과 자유의 아름다운 조화를 품고 있습니다. 이 꽃은 자신의 삶을 자유롭고 당당하게 살아가는 이에게 특히 의미 있게 다가갈 것입니다. 예를 들어, 새로운 길을 개척하는 친구나 도전적인 직업을 선택한 가족 구성원에게 선물한다면, 그들의 결정을 자랑스럽게 생각하며 응원하는 마음을 전달할 수 있습니다. 또한, 자신만의 길을 걷는 모든 이들에게 이 보라색 카네이션은 용기와 자부심을 불어넣어줄 수 있는 특별한 선물이 될 것입니다."
20,카네이션,하얀색,0,1,0,0,강한향,1600,꽃다발,내 사랑은 살아있어요,O,"하얀 카네이션은 ""내 사랑은 살아있어요""라는 꽃말을 가지고 있어, 순수하고 지속적인 사랑을 표현하는 데에 적합합니다. 이 꽃은 어려움을 겪고 있는 사랑하는 사람에게 조용한 위로와 함께 변치 않을 사랑을 전달하고 싶을 때 특히 의미가 깊습니다. 섬세하고 깨끗한 하얀색은 마음의 평화와 안정을 가져다주며, 이는 사랑하는 이의 고난이나 슬픔 속에서도 변함없는 사랑과 지지를 상징합니다. 또한, 장기간 떨어져 있었던 사람들이 재회하는 순간에도 하얀 카네이션은 '여전히 당신을 사랑합니다'라는 강력한 메시지를 전달하며, 그 사랑의 순결함과 영속성을 상기시켜줍니다."
21,모란,빨간색,1,1,0,0,무향,1000,꽃다발,열정적인 사랑,X,"빨간 모란은 그 불꽃 같은 색상과 함께 열정적인 사랑을 상징합니다. 이 꽃은 특별한 날, 연인에게 마음을 전하고 싶을 때 아주 적합하며, 그 강렬한 색과 풍성한 꽃잎이 사랑의 깊이와 열정을 표현해 줍니다. 연인의 생일이나 기념일에 빨간 모란을 선물한다면, 그 사랑의 열기를 한층 더 느낄 수 있을 것입니다. 이 꽃은 또한, 일상의 무게에 지친 사랑하는 이에게 활력과 열정을 다시 불어넣어 줄 수 있는 특별한 의미를 가지고 있습니다. 빨간 모란 한 다발은 그 자체로 강렬한 사랑의 메시지를 전달하며, 그 뜨거운 사랑과 관심을 갈망하는 이들에게 완벽한 선물이 될 것입니다."
22,모란,보라색,1,1,0,0,무향,1000,꽃다발,우아함,X,"보라색 모란은 그 자체로 고귀하고 우아한 분위기를 가득 품고 있습니다. 이 꽃은 특별한 날, 예를 들어 중요한 기념일이나 졸업식에서 사랑하는 사람에게 선물하기에 적합합니다. 그 우아한 자태는 받는 이에게 자신도 모르게 미소 짓게 만들며, 그 순간을 더욱 특별하게 만들어줍니다. 또한, 이 꽃은 새로운 시작을 축하하는 자리나 새로운 직장을 얻은 친구를 응원할 때에도 멋진 선물이 될 수 있습니다. 보라색 모란을 선물하며 전하는 '우아함'이라는 메시지는 모든 이의 마음을 한층 더 높은 곳으로 이끌어 줄 것입니다."
23,모란,노란색,1,1,0,0,무향,1000,축하,"기쁨, 용기, 새로운 시작",X,"노란색 모란은 그 밝은 색상만큼이나 기쁨과 희망을 가득 담고 있습니다. 이 꽃은 새로운 시작을 앞둔 친구나 가족에게 용기와 자신감을 북돋아 줄 수 있는 완벽한 선물이 될 것입니다. 예를 들어, 새 직장을 시작하는 친구나 새로운 도전을 맞이하는 이에게 노란 모란을 선물하면, 그들의 새 출발을 축하하고 긍정적인 에너지를 전달하는 데 큰 도움이 될 것입니다. 이 꽃은 그 자체로도 한 폭의 밝은 그림 같아, 보는 이로 하여금 자연스레 미소 짓게 만드는 힘이 있죠. 노란 모란은 모든 이에게 기쁨과 용기를 전하는 매혹적인 메신저로서, 어떤 새로운 시작에도 희망의 빛을 더해줍니다."
24,모란,하얀색,1,1,0,0,무향,1000,축하,"부귀, 화려, 변영",X,"하얀 모란은 그 순수하고 우아한 모습으로 부귀와 화려함을 상징합니다. 이 꽃은 특별한 성취를 이룬 사람에게 선물하기에 적합하며, 그들의 노력과 성공을 축하하는 의미를 담고 있습니다. 예를 들어, 새로운 직장에 오른 친구나 승진한 동료에게 하얀 모란을 선물한다면, 그들의 새로운 시작과 빛나는 미래를 응원하는 마음을 표현할 수 있습니다. 또한, 이 꽃은 그 자체로도 매우 특별하고 기품 있는 분위기를 자아내어, 받는 이를 더욱 돋보이게 해줄 것입니다."
25,모란,분홍색,1,1,0,0,무향,1000,축하,"부귀, 화려, 변영",X,"분홍색 모란은 그 자체로 화려하고 강렬한 에너지를 지닌 꽃입니다. 이 꽃은 부귀와 번영을 상징하여, 새로운 시작이나 성취를 축하하는 자리에 아주 적합합니다. 특히 진급이나 졸업, 신규 사업의 개업식 같은 중요한 순간에 이 꽃을 선물하면, 받는 사람에게 풍요롭고 밝은 미래를 향한 긍정적인 메시지를 전달할 수 있습니다. 또한, 개인의 노력과 성공을 돋보이게 하며, 그들의 새로운 여정에 화려함과 특별함을 더해줄 것입니다. 분홍색의 따뜻함이 더해져, 모란은 언제나 사랑과 기쁨의 감정을 아름답게 표현해줍니다."
26,아네모네,빨간색,0,0,0,1,무향,1500,꽃다발,"허무한 사랑, 속절없는 사랑, 버림",X,"빨간 아네모네는 강렬한 색상과 그것이 내포하는 허무한 사랑, 속절없는 사랑의 꽃말로 인해 깊은 감정의 표현에 적합합니다. 이 꽃은 이별이나 잃어버린 사랑을 애도하는 상황에서 특히 의미가 깊어, 슬픔과 그리움을 아름답고 섬세하게 전달할 수 있습니다. 또한, 빨간색이 주는 강렬함은 분노나 서운함이 섞인 이별에도 건네는 사람의 깊은 감정을 표현하는 데 적절합니다. 아네모네를 선물할 때는 그 꽃이 지닌 의미를 잘 전달하여, 받는 이가 꽃을 통해 조금이나마 위로받고 감정을 정리할 수 있는 계기가 되길 바랍니다."
27,아네모네,보라색,0,0,0,1,무향,1500,꽃다발,당신을 믿으며 기다려,X,"보라색 아네모네는 그윽하고 신비로운 색상으로, 마음 깊이 숨겨진 기다림과 신뢰의 감정을 표현하는 데 적합합니다. 이 꽃은 오랜 시간 동안 변함없이 한결같은 마음을 지니고 있는 사람에게 전달하기에 아주 좋습니다. 예를 들어, 멀리 떨어져 있는 연인이나 오랜 시간을 함께 보낸 친구에게 보라색 아네모네를 선물한다면, ""비록 지금 당장 함께 할 수는 없지만, 언제나 당신을 믿고 기다리고 있다""는 깊은 애정과 충성심을 전할 수 있습니다. 또한, 이 꽃은 장기적인 프로젝트나 목표를 향해 노력하고 있는 이에게도 훌륭한 선물이 될 수 있어, 그들의 노력을 인정하고 그 길을 함께 응원하고 있다는 메시지를 전달하기에 적합합니다."
28,아네모네,하얀색,0,0,0,1,무향,1500,꽃다발,"진정성, 성실",X,"하얀 아네모네는 그 순수하고 깨끗한 색상으로 마음의 진정성과 성실함을 전달하는 데에 가장 적합한 꽃입니다. 이 꽃은 특히 진심을 담아 진솔한 사과를 전하거나, 오랜 시간 변함없는 마음을 표현하고자 할 때 주는 선물로 손색이 없습니다. 또한, 신뢰와 진실된 마음을 중요시하는 사람에게는 이 꽃이 그들의 가치를 반영하며 깊은 울림을 줄 수 있습니다. 하얀 아네모네 한 다발은 어떤 말보다 더 큰 위로와 격려가 되어, 받는 이에게 진심이 닿는 순간을 선사할 것입니다."
29,백합,하얀색,1,1,1,1,강한향,3500,꽃다발,"순수한 사랑, 순결, 깨끗한 사랑",O,"하얀 백합은 그 자체만으로도 깊은 감정의 울림을 전달하는 꽃입니다. 순수한 사랑과 순결, 깨끗한 사랑이라는 꽃말처럼, 이 꽃은 맑고 투명한 마음을 가진 이에게 사랑의 고백이나 감사의 마음을 전할 때 특히 의미가 깊습니다. 예를 들어, 오랜 시간 변함없이 당신을 사랑해 온 이에게 하얀 백합 한 다발을 선물한다면, 그 마음의 순수함과 깊이를 조용히, 그러나 강렬하게 표현할 수 있을 것입니다. 또한, 결혼식이나 첫 만남의 기념일 같은 특별한 날에 이 꽃을 선물하면, 그날의 순백과 같은 순간을 더욱 기억에 남게 할 수 있습니다. 하얀 백합은 그 자체로도 충분히 아름다우며, 받는 이의 마음에 평온과 행복을 가져다 줄 것입니다."
30,백합,분홍색,1,1,1,1,강한향,3500,꽃다발,핑크빛 사랑,O,"분홍색 백합은 그 자체로 사랑스럽고 따뜻한 감정의 전달자입니다. 이 꽃은 '핑크빛 사랑'이라는 꽃말처럼, 새로운 사랑이 시작되는 순간이나, 오랜 시간을 함께한 연인에게 새로운 애정을 표현하고 싶을 때 특별히 어울립니다. 또한, 이 꽃은 사랑하는 사람에게 힘든 시간 속에서도 변하지 않는 마음을 전하고자 할 때 위로와 응원의 메시지를 담아 전달하기에 적합합니다. 분홍색 백합을 선물하는 것은, 받는 이에게 당신의 섬세하고 따뜻한 마음을 전하며, 언제나 그들의 곁에서 사랑을 지켜줄 것이라는 약속을 상징할 수 있습니다."
31,백합,주황색,1,1,1,1,강한향,3500,꽃다발,명량한 사랑,O,"주황색 백합은 그 빛깔만큼이나 따스하고 명랑한 감정을 전달합니다. 이 꽃은 '명량한 사랑'이라는 꽃말처럼, 사랑하는 사람과의 밝고 경쾌한 순간들을 기념하는 데 아주 적합합니다. 예를 들어, 새로운 시작을 축하하는 순간이나, 사랑하는 이와의 기념일에 주황색 백합을 선물한다면, 그 날의 기쁨과 행복이 배가될 것입니다. 또한, 어려운 시기를 겪고 있는 친구에게 이 꽃을 선물하면, 밝은 색상과 긍정적인 메시지가 그들에게 희망과 용기를 줄 수 있어, 위로와 응원의 메시지를 전달하는 데도 효과적입니다. 주황색 백합은 그 자체로 사랑과 기쁨, 희망의 상징이 될 수 있어, 다양한 감정을 섬세하게 전달할 수 있는 매력적인 꽃입니다."
32,백합,빨간색,1,1,1,1,강한향,3500,꽃다발,"열정, 깨끗함",O,"빨간색 백합은 강렬한 열정과 순수한 깨끗함이라는 꽃말을 가지고 있어, 뜨거운 사랑의 감정을 표현하기에 완벽한 선택입니다. 이 꽃은 연인에게 주는 선물로 특히 적합하며, 그 불타오르는 색상은 감정의 진심을 전달하며 마음을 뜨겁게 할 수 있습니다. 또한, 어떤 중요한 순간이나 업적을 축하하는 자리에서도 빨간 백합은 열정적인 노력과 성취를 상징적으로 칭찬해줄 수 있습니다. 사랑하는 사람이나 친구가 새로운 시작을 할 때 그들에게 힘과 용기를 주는 선물로도 손색이 없어, 모든 이에게 긍정적인 에너지를 전달하는 데 큰 역할을 합니다."
33,히야신스,빨간색,1,0,0,1,강한향,600,꽃다발,내 마음에 당신의 사랑이 머물러 있습니다,X,"빨간 히야신스는 강렬하고 깊은 사랑의 감정을 담아 전하는 꽃입니다. 이 꽃은 연인에게 마음 깊은 곳에 자리 잡은 사랑을 표현하고자 할 때 탁월한 선택이 될 수 있습니다. ""내 마음에 당신의 사랑이 머물러 있습니다""라는 꽃말은 사랑하는 이에게 자신의 변하지 않는 감정을 전달하며, 오랜 시간을 함께한 파트너에게도 새로운 사랑의 선언처럼 다가갈 수 있습니다. 또한, 빨간색이 주는 열정과 강렬함은 기념일, 프러포즈 등 특별한 순간에 그 의미를 더욱 돋보이게 합니다. 이 꽃은 사랑을 확인하고, 또 한 번 약속을 다지는 매우 특별한 순간에 주고받기에 적합합니다."
34,히야신스,파란색,1,0,0,1,강한향,600,꽃다발,당신이 나를 사랑해 주어 기쁩니다,X,"파란색 히야신스는 그윽하고 신비로운 색감으로 마음 속 깊은 사랑과 감사의 메시지를 전달합니다. 이 꽃은 연인에게 조용히 자신의 사랑을 고백하고 싶은 순간, 또는 오랜 시간 함께한 배우자에게 여전히 변치 않는 마음을 표현하고 싶을 때 특히 의미가 깊습니다. ""당신이 나를 사랑해 주어 기쁩니다""라는 꽃말은 상대방에 대한 고마움과 사랑을 담백하고 진솔하게 전달해, 받는 이의 마음을 따뜻하게 만듭니다. 이 아름다운 파란색 히야신스를 선물하는 것은 특별한 날, 혹은 평범한 날에도 상대방에게 뜻깊은 감동을 선사할 수 있는 완벽한 방법입니다."
35,히야신스,보라색,1,0,0,1,강한향,600,꽃다발,영원한 사랑,X,"히야신스, 특히 보라색은 그 깊고 신비로운 색감으로 '영원한 사랑'이라는 꽃말을 간직하고 있습니다. 이 꽃은 오래 지속되는 애정과 변치 않는 감정을 상징하여, 결혼 기념일이나 오랜 연인에게 선물하기에 아주 적합합니다. 보라색 히야신스 한 다발은 사랑하는 사람에게 당신의 마음이 시간이 지나도 변하지 않고 항상 그들을 향해 있다는 메시지를 전달해 줄 것입니다. 이 꽃은 또한 깊은 내면의 감정을 표현하는 데에도 탁월하여, 말로 표현하기 어려운 섬세한 감정들을 전할 수 있는 완벽한 매개체가 됩니다. 보라색의 우아함이 더해져, 받는 이의 마음에도 오랫동안 기억될 따뜻하고 감동적인 선물이 될 것입니다."
36,히야신스,노란색,1,0,0,1,강한향,600,축하,"용기, 승부",X,"노란색 히야신스는 마치 햇살처럼 밝고 따뜻한 느낌을 주며, 그 속에 담긴 '용기'와 '승부'라는 꽃말은 삶의 중요한 순간에 마주한 도전과 결정 앞에서 누군가에게 힘을 전달해 줄 수 있습니다. 예를 들어, 중대한 시험이나 면접을 앞둔 친구에게 이 꽃을 선물한다면, 그들의 마음에 자신감을 심어줄 수 있을 것입니다. 또한, 새로운 사업을 시작하거나 새로운 길을 걷기로 결심한 이에게 노란 히야신스는 그들의 결정을 응원하고, 도전을 격려하는 상징이 될 수 있습니다. 이 꽃은 그 자체로도 아름답지만, 그 속에 담긴 의미가 주는 용기는 받는 이로 하여금 더욱 빛나게 할 것입니다."
